"stripped_cell_line_name","cell_line_name","Sample Name","CCLE_Name","alias","DepMap_ID","COSMIC identifier","Sanger_Model_ID","master_ccl_id","sampleid","Cellosaurus.Accession.id","sex","age","ds_group","ds_type","ds_subtype","characteristics","primary_site","sample_site","metastatic","primary_or_metastasis","depmap_public_comments"
"1794","17.94",NA,"1794_KIDNEY",NA,"ACH-002646",NA,NA,NA,NA,NA,"Female",4,"Kidney","Kidney","Wilms tumor",NA,NA,"kidney",NA,NA,NA
"184A1","184A1",NA,"184A1_BREAST",NA,"ACH-002319",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"breast",NA,NA,NA
"184B5","184B5",NA,"184B5_BREAST","HMEC-184B5","ACH-001827",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"breast",NA,"Primary",NA
"2004",NA,NA,NA,NA,NA,NA,NA,155823,"2004","CVCL_U759",NA,NA,"Soft tissue","Rhabdoid","NOS",NA,"",NA,NA,NA,NA
"201T","201T","201T","201T_LUNG",NA,"ACH-002089",1287381,"SIDM00055",NA,NA,NA,"Unknown",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"21MT1","21MT1",NA,"21MT1_BREAST",NA,"ACH-002400",NA,NA,NA,NA,NA,"Female",37,"Breast","Breast","NOS",NA,NA,"pleural_effusion",TRUE,"Metastasis",NA
"21MT2","21MT2",NA,"21MT2_BREAST",NA,"ACH-002401",NA,NA,NA,NA,NA,"Female",37,"Breast","Breast","NOS",NA,NA,"pleural_effusion",TRUE,"Metastasis",NA
"21NT","21NT",NA,"21NT_BREAST",NA,"ACH-002399",NA,NA,NA,NA,NA,"Female",36,"Breast","Breast","NOS",NA,NA,"breast",NA,"Primary",NA
"21PT","21PT",NA,"21PT_BREAST",NA,"ACH-002398",NA,NA,NA,NA,NA,"Female",36,"Breast","Breast","NOS",NA,NA,"breast",NA,"Primary",NA
"22RV1","22Rv1","22RV1","22RV1_PROSTATE","22-RV1","ACH-000956",924100,"SIDM00499",7,"22Rv1","CVCL_1045","Male",NA,"Urogenital","Prostate","Adenocarcinoma",NA,"prostate","prostate",NA,"Primary",NA
"2313287","23132/87","23132-87","2313287_STOMACH",NA,"ACH-000948",910924,"SIDM00980",4,"23132/87","CVCL_1046","Male",72,"Gastrointestinal","Gastric","Adenocarcinoma",NA,"stomach","stomach",NA,"Primary",NA
"253J","253J",NA,"253J_URINARY_TRACT",NA,"ACH-000011",NA,NA,8,"253J","CVCL_7935","Male",53,"Urogenital","Bladder","NOS",NA,"urinary_tract","lymph_node",TRUE,"Metastasis",NA
"253JBV","253J-BV",NA,"253JBV_URINARY_TRACT",NA,"ACH-000026",NA,NA,9,"253J-BV","CVCL_7937","Male",53,"Urogenital","Bladder","NOS",NA,"urinary_tract","lymph_node",TRUE,"Metastasis",NA
"2B8","2B8",NA,"2B8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002546",NA,"SIDM01262",NA,NA,NA,"Unknown",NA,"Lymphoid","Lymphoma","Burkitts",NA,NA,"ascites",NA,NA,NA
"381T","381T",NA,"381T_SOFT_TISSUE","TE381T","ACH-001829",NA,NA,NA,NA,NA,"Female",7,"Soft tissue","Sarcoma","NOS",NA,NA,"soft_tissue",NA,NA,NA
"40291","402-91",NA,"40291_SOFT_TISSUE",NA,"ACH-002515",NA,NA,NA,NA,NA,"Male",33,"Soft tissue","Sarcoma","Liposarcoma",NA,NA,"soft_tissue",NA,"Primary",NA
"42MGBA","42-MG-BA","42-MG-BA","42MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-000323",687561,"SIDM00982",10,"42-MG-BA","CVCL_1798","Male",63,"Nervous system","Glioma","Astrocytoma",NA,"central_nervous_system","central_nervous_system",NA,"Primary",NA
"451LU",NA,"451Lu","451LU_SKIN",NA,"ACH-001002",1287706,"SIDM01240",NA,NA,NA,"Male",NA,"Skin","Melanoma","NOS",NA,NA,"lymph_node",TRUE,"Metastasis",NA
"501MEL",NA,NA,"501MEL_SKIN",NA,"ACH-001003",NA,NA,NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"prostate",NA,NA,NA
"538MGBA","538-MG-BA",NA,"538MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-002681",NA,NA,NA,NA,NA,"Male",49,"Nervous system","Glioma","Glioblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"5637","5637","5637","5637_URINARY_TRACT",NA,"ACH-000905",687452,"SIDM00807",3,"5637","CVCL_0126","Male",68,"Urogenital","Bladder","NOS",NA,"urinary_tract","urinary_tract",NA,NA,NA
"577MF","577MF",NA,"577MF_TESTIS",NA,"ACH-001439",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"Embryonal",TRUE,"Metastasis",NA
"59M","59M",NA,"59M_OVARY",NA,"ACH-000520",NA,NA,NA,NA,NA,"Female",NA,"Urogenital","Ovarian","High grade serous",NA,NA,"ascites",TRUE,"Metastasis",NA
"600MPE","600MPE",NA,"600MPE_BREAST",NA,"ACH-002320",NA,NA,NA,NA,NA,"Unknown",NA,"Breast","Breast","NOS",NA,NA,"pleural_effusion",TRUE,"Metastasis",NA
"639V","639-V","639-V","639V_URINARY_TRACT",NA,"ACH-000973",906798,"SIDM00999",14,"639V","CVCL_1048","Male",69,"Urogenital","Bladder","Transitional cell",NA,"urinary_tract","urinary_tract",NA,"Primary",NA
"647V","647-V","647-V","647V_URINARY_TRACT",NA,"ACH-000896",906797,"SIDM00983",15,"647V","CVCL_1049","Male",NA,"Urogenital","Bladder","NOS",NA,"urinary_tract","urinary_tract",NA,"Primary",NA
"697","697","697","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000070",906800,"SIDM01076",1,"697","CVCL_0079","Male",12,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)","E2A-PBX1 (TCF3-PBX1)","haematopoietic_and_lymphoid_tissue","bone_marrow",NA,"Primary",NA
"769P","769-P","769-P","769P_KIDNEY",NA,"ACH-000411",910922,"SIDM00803",16,"769-P","CVCL_1050","Female",63,"Kidney","Kidney","Clear cell",NA,"kidney","kidney",NA,"Primary",NA
"769PVHL",NA,NA,"769PVHL_KIDNEY",NA,"ACH-001004",NA,NA,NA,NA,NA,"Unknown",NA,"Kidney","Kidney","Clear cell",NA,NA,"kidney",NA,"Primary",NA
"786O","786-O","786-0","786O_KIDNEY",NA,"ACH-000649",905947,"SIDM00125",19,"786-O","CVCL_1051","Male",58,"Kidney","Kidney","Clear cell",NA,"kidney","kidney",NA,"Primary",NA
"8305C","8305C","8305C","8305C_THYROID",NA,"ACH-001306",906795,"SIDM00997",20,"8305C","CVCL_1053","Female",67,"Thyroid","Thyroid","Anaplastic",NA,"thyroid","thyroid",NA,"Primary",NA
"833KE","833KE",NA,"833KE_TESTIS",NA,"ACH-001440",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"abdomen",NA,"Primary",NA
"8505C","8505C","8505C","8505C_THYROID",NA,"ACH-001307",924102,"SIDM00996",21,"8505C","CVCL_1054","Female",78,"Thyroid","Thyroid","Anaplastic",NA,"thyroid","thyroid",NA,"Primary",NA
"862",NA,NA,"862_LUNG",NA,"ACH-001005",NA,NA,NA,NA,NA,"Unknown",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"8MGBA","8-MG-BA","8-MG-BA","8MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-000137",687562,"SIDM00998",22,"8-MG-BA","CVCL_1052","Female",54,"Nervous system","Glioma","Astrocytoma",NA,"central_nervous_system","central_nervous_system",NA,"Primary",NA
"908TL","90-8TL",NA,"908TL_SOFT_TISSUE",NA,"ACH-002692",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","NOS",NA,NA,"Unknown",NA,NA,NA
"921","92-1",NA,"921_UVEA",NA,"ACH-001441",NA,NA,NA,NA,NA,"Female",76,"Eye","Eye","Uveal Melanoma",NA,NA,"uvea",TRUE,"Metastasis",NA
"93T449","93T449",NA,"93T449_SOFT_TISSUE",NA,"ACH-001794",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","Liposarcoma",NA,NA,"soft_tissue",NA,"Primary",NA
"94T778","94T778",NA,"94T778_SOFT_TISSUE",NA,"ACH-001795",NA,NA,NA,NA,NA,"Female",NA,"Soft tissue","Sarcoma","Liposarcoma",NA,NA,"soft_tissue",NA,NA,NA
"9505BIK","950-5-BIK",NA,"9505BIK_PANCREAS",NA,"ACH-001999",NA,NA,NA,NA,NA,"Unknown",NA,"Gastrointestinal","Pancreas","Ductal adenocarcinoma","Exocrine",NA,"pancreas",NA,NA,NA
"95T1000","95T1000",NA,"95T1000_SOFT_TISSUE",NA,"ACH-001796",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","Liposarcoma",NA,NA,"soft_tissue",NA,NA,NA
"A03","A03",NA,NA,NA,"ACH-002805",NA,NA,NA,NA,NA,"Male",42,"Nervous system","Glioma","Oligodendroglioma",NA,NA,"central_nervous_system",NA,"Unknown",NA
"A101D","A101D","A101D","A101D_SKIN",NA,"ACH-000008",910921,"SIDM00801",23,"A101D","CVCL_1057","Male",56,"Skin","Melanoma","NOS",NA,"skin","skin",NA,NA,NA
"A1207","A1207",NA,"A1207_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-000283",NA,NA,NA,NA,NA,"Female",NA,"Nervous system","Glioma","Glioblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"A129L","A129L",NA,"A129L_LUNG",NA,"ACH-002088",NA,NA,NA,NA,NA,"Male",64,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,"Primary",NA
"A172","A-172","A172","A172_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-000558",687563,"SIDM00799",25,"A-172","CVCL_0131","Male",53,"Nervous system","Glioma","Glioblastoma",NA,"central_nervous_system","central_nervous_system",NA,"Primary",NA
"A204","A-204","A204","A204_SOFT_TISSUE",NA,"ACH-000201",910784,"SIDM00798",26,"A-204","CVCL_1058","Female",1,"Soft tissue","Rhabdoid","Malignant",NA,"soft_tissue","soft_tissue",NA,"Primary",NA
"A2058","A2058","A2058","A2058_SKIN",NA,"ACH-000788",906792,"SIDM00797",27,"A2058","CVCL_1059","Male",43,"Skin","Melanoma","NOS",NA,"skin","lymph_node",TRUE,"Metastasis",NA
"A253","A-253","A253","A253_SALIVARY_GLAND",NA,"ACH-000740",906794,"SIDM00796",28,"A-253","CVCL_1060","Male",54,"Head and Neck","Head and Neck","Squamous","Salivary","salivary_gland","upper_aerodigestive_tract",NA,"Primary",NA
"A2780","A2780","A2780","A2780_OVARY",NA,"ACH-000657",906804,"SIDM00210",29,"A2780","CVCL_0134","Female",NA,"Urogenital","Ovarian","Endometrioid",NA,"ovary","ovary",NA,"Primary",NA
"A2780ADR","A2780ADR",NA,"A2780ADR_OVARY",NA,"ACH-002517",NA,"SIDM01211",NA,NA,NA,"Female",NA,"Urogenital","Ovarian","Endometrioid",NA,NA,"ovary",NA,NA,"A2780ADR is an adriamycin resistant subclone of A2780"
"A2780CIS","A2780cis",NA,"A2780CIS_OVARY",NA,"ACH-002518",NA,"SIDM01212",NA,NA,NA,"Female",NA,"Urogenital","Ovarian","Endometrioid",NA,NA,"ovary",NA,NA,"A2780CIS is a cisplatin resistant subclone of A2780"
"A3","A3",NA,"A3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002580",NA,"SIDM01243",NA,NA,NA,"Unknown",NA,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"A375","A-375","A375","A375_SKIN",NA,"ACH-000219",906793,"SIDM00795",30,"A-375","CVCL_0132","Female",54,"Skin","Melanoma","NOS",NA,"skin","skin",NA,"Primary",NA
"A375RPMI","A375_RPMI",NA,NA,NA,"ACH-002874",NA,NA,NA,NA,NA,"Female",54,"Skin","Melanoma","NOS",NA,NA,"skin",NA,"Primary",NA
"A375SKINCJ1","A375 SKIN CJ1",NA,"A375_SKIN_CJ1_RESISTANT","A375 RMR","ACH-002001",NA,NA,NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,"Drug resistance: Dabrafenib and Trametinib"
"A375SKINCJ2","A375 SKIN CJ2",NA,"A375_SKIN_CJ2_RESISTANT","A375 ER-2","ACH-002002",NA,NA,NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,"Drug resistance: SCH772984"
"A375SKINCJ3","A375 SKIN CJ3",NA,"A375_SKIN_CJ3_RESISTANT","A375 RMR SCH 0.25","ACH-002003",NA,NA,NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"skin",NA,NA,"Drug resistance: Dabrafenib and Trametinib"
"A388","A388","A388","A388_SKIN",NA,"ACH-001442",910697,"SIDM00794",NA,NA,NA,"Male",86,"Skin","Skin carcinoma","Squamous",NA,NA,"lymph_node",TRUE,"Metastasis",NA
"A3KAW","A3/KAW","A3-KAW","A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000697",910935,"SIDM00495",31,"A3/Kawakami","CVCL_1062","Female",NA,"Lymphoid","Lymphoma","Diffuse large B-cell (DLBCL)",NA,"haematopoietic_and_lymphoid_tissue","ascites",NA,"Primary",NA
"A427","A427","A427","A427_LUNG",NA,"ACH-000757",910851,"SIDM00810",NA,NA,NA,"Male",NA,"Lung","Lung","Small cell (SCLC)",NA,NA,"lung",NA,NA,NA
"A431","A-431","A431","A431_SKIN",NA,"ACH-001328",910925,"SIDM00995",NA,NA,NA,"Female",85,"Skin","Skin carcinoma","Squamous",NA,NA,"skin",NA,"Primary",NA
"A498","A-498","A498","A498_KIDNEY",NA,"ACH-000555",905948,"SIDM00124",33,"A-498","CVCL_1056","Male",52,"Kidney","Kidney","Renal cell",NA,"kidney","kidney",NA,"Primary",NA
"A4FUK","A4/Fuk","A4-Fuk","A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000157",910934,"SIDM00502",34,"A4/Fukuda","CVCL_1064","Female",52,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,"haematopoietic_and_lymphoid_tissue","ascites",NA,"Primary",NA
"A549","A549","A549","A549_LUNG",NA,"ACH-000681",905949,"SIDM00903",35,"A-549","CVCL_0023","Male",52,"Lung","Lung","Small cell (SCLC)",NA,"lung","lung",NA,"Primary",NA
"A549BAXBAKDKO",NA,NA,"A549BAXBAKDKO_ENGINEERED","A549-BAXBAK DKO","ACH-001006",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"A673","A-673","A673","A673_BONE",NA,"ACH-000052",684052,"SIDM00848",37,"A-673","CVCL_0080","Female",15,"Bone","Bone","Ewings",NA,"bone","soft_tissue",NA,"Primary",NA
"A673STAG2KO16","A673STAG2KO16",NA,"A673STAG2KO16_ENGINEERED","A673-STAG2-KO-16","ACH-001007",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"A673STAG2KO45","A673STAG2KO45",NA,"A673STAG2KO45_ENGINEERED","A673-STAG2-KO-45","ACH-001008",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"A673STAG2NT14","A673STAG2NT14",NA,"A673STAG2NT14_ENGINEERED","A673-STAG2-NT-14","ACH-001009",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"A673STAG2NT23","A673STAG2NT23",NA,"A673STAG2NT23_ENGINEERED","A673-STAG2-NT-23","ACH-001010",NA,NA,NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"engineered",NA,NA,NA
"A704","A-704","A704","A704_KIDNEY",NA,"ACH-000429",910920,"SIDM00849",NA,NA,NA,"Male",78,"Kidney","Kidney","Renal cell",NA,NA,"kidney",NA,"Primary",NA
"AB040","AB040",NA,NA,NA,"ACH-002953",NA,NA,NA,NA,NA,NA,NA,"Gastrointestinal","Gastric","NOS",NA,NA,"pleural_cavity",TRUE,"Metastasis",NA
"AB053","AB053",NA,NA,NA,"ACH-002952",NA,NA,NA,NA,NA,NA,NA,"Gastrointestinal","Gastric","NOS",NA,NA,"stomach",NA,"Primary",NA
"ABC1","ABC-1","ABC-1","ABC1_LUNG",NA,"ACH-000528",906791,"SIDM00494",NA,NA,NA,"Male",47,"Lung","Lung","Small cell (SCLC)",NA,NA,"pleural_effusion",TRUE,"Metastasis",NA
"ACCMESO1","ACC-MESO-1",NA,"ACCMESO1_PLEURA",NA,"ACH-000086",NA,NA,41,"ACC-MESO-1","CVCL_5113","Female",61,"Lung","Lung","Mesothelioma",NA,"pleura","pleura",NA,NA,NA
"ACCS",NA,NA,"ACCS_URINARY_TRACT",NA,"ACH-001011",NA,"SIDM01166",NA,NA,NA,"Female",81,"Urogenital","Bladder","NOS",NA,NA,"urinary_tract",NA,NA,NA
"ACHN","ACHN","ACHN","ACHN_KIDNEY",NA,"ACH-000046",905950,"SIDM00123",43,"ACHN","CVCL_1067","Male",22,"Kidney","Kidney","Papillary",NA,"kidney","pleural_effusion",TRUE,"Metastasis",NA
"ACN","ACN",NA,"ACN_AUTONOMIC_GANGLIA",NA,"ACH-002389",NA,"SIDM00057",NA,NA,NA,"Unknown",NA,"Other","Neuroendocrine","Neuroblastoma",NA,NA,"bone_marrow",TRUE,"Metastasis",NA
"AGRON","AGR-ON",NA,"AGRON_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002613",NA,"SIDM01249",NA,NA,NA,"Unknown",NA,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"Unknown",NA,NA,NA
"AGS","AGS","AGS","AGS_STOMACH",NA,"ACH-000880",906790,"SIDM00850",44,"AGS","CVCL_0139","Female",54,"Gastrointestinal","Gastric","Adenocarcinoma",NA,"stomach","stomach",NA,"Primary",NA
"ALLPO","ALL-PO","ALL-PO","ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002209",910944,"SIDM00211",NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"bone_marrow",NA,NA,NA
"ALLSIL","ALL-SIL","ALL-SIL","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000105",1295740,"SIDM00994",46,"ALL-SIL","CVCL_1805","Male",17,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"AM38","AM-38","AM-38","AM38_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-000269",910933,"SIDM00492",47,"AM-38","CVCL_1070","Male",36,"Nervous system","Glioma","Glioblastoma",NA,"central_nervous_system","central_nervous_system",NA,"Primary",NA
"AML193","AML-193",NA,"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000557",NA,NA,48,"AML-193","CVCL_1071","Female",13,"Myeloid","Myeloid leukemia","Acute myeloid leukemia (AML)","M5","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"AMO1","AMO-1","AMO-1","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-000838",1295741,"SIDM00993",49,"AMO1","CVCL_1806","Female",64,"Lymphoid","Plasma cell","Multiple myeloma",NA,"haematopoietic_and_lymphoid_tissue","ascites",NA,"Primary",NA
"AN3CA","AN3 CA","AN3-CA","AN3CA_ENDOMETRIUM",NA,"ACH-000940",910781,"SIDM00901",50,"AN3-CA","CVCL_0028","Female",55,"Urogenital","Endometrial","Adenocarcinoma",NA,"endometrium","endometrium",TRUE,"Metastasis",NA
"ANGMCSS","ANGM-CSS",NA,"ANGMCSS_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001329",NA,NA,NA,NA,NA,"Male",65,"Nervous system","Glioma","Glioblastoma",NA,NA,"central_nervous_system",NA,"Primary",NA
"ARH77","ARH-77","ARH-77","ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002210",906765,"SIDM00900",NA,NA,NA,"Unknown",NA,"Engineered","Engineered","NOS",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"ARP1",NA,NA,"ARP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-001012",NA,NA,NA,NA,NA,"Unknown",NA,"Lymphoid","Plasma cell","Multiple myeloma",NA,NA,"bone_marrow",NA,NA,NA
"ASH3","ASH-3","ASH-3","ASH3_THYROID",NA,"ACH-001443",1290722,"SIDM00491",NA,NA,NA,"Female",68,"Thyroid","Thyroid","NOS",NA,NA,"thyroid",NA,"Primary",NA
"ASKA","Aska",NA,"ASKA_SOFT_TISSUE",NA,"ACH-001271",NA,NA,155825,"Aska-SS","CVCL_6C43","Unknown",NA,"Soft tissue","Sarcoma","Synovial sarcoma",NA,"","soft_tissue",NA,NA,NA
"ASPC1","AsPC-1","AsPC-1","ASPC1_PANCREAS",NA,"ACH-000222",910702,"SIDM00899",52,"AsPC-1","CVCL_0152","Female",62,"Gastrointestinal","Pancreas","Ductal adenocarcinoma","Exocrine","pancreas","ascites",TRUE,"Metastasis",NA
"ATN1","ATN-1",NA,"ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002058",NA,"SIDM00233",NA,NA,NA,"Male",47,"Lymphoid","T-cell leukemia","T-cell acute lymphoblastic leukemia (T-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"Primary",NA
"ATRFLOX","ATRFLOX",NA,"ATRFLOX_LARGE_INTESTINE",NA,"ACH-001330",NA,NA,NA,NA,NA,"Male",NA,"Gastrointestinal","Colorectal","Adenocarcinoma",NA,NA,"large_intestine",NA,"Primary",NA
"ATRT1",NA,NA,"ATRT1_SOFT_TISSUE",NA,"ACH-001013",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Rhabdoid","Atypical Teratoid Rhabdoid Tumor (ATRT)",NA,NA,"soft_tissue",NA,NA,NA
"ATRT3","ATRT3",NA,"ATRT3_SOFT_TISSUE",NA,"ACH-001014",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Rhabdoid","Atypical Teratoid Rhabdoid Tumor (ATRT)",NA,NA,"soft_tissue",NA,NA,NA
"AU565","AU565","AU565","AU565_BREAST",NA,"ACH-000248",910704,"SIDM00898",53,"AU565","CVCL_1074","Female",43,"Breast","Breast","Adenocarcinoma","ERneg; HER2pos","breast","pleural_effusion",TRUE,"Metastasis",NA
"AZ521",NA,NA,"AZ521_SMALL_INTESTINE",NA,"ACH-001015",NA,NA,NA,NA,NA,"Male",NA,"Gastrointestinal","Gastric","Duodenal adenocarcinoma",NA,NA,"stomach",NA,NA,NA
"B217","B2-17",NA,"B217_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-002569",NA,"SIDM00110",NA,NA,NA,"Unknown",NA,"Nervous system","Glioma","NOS",NA,NA,"central_nervous_system",NA,NA,NA
"BALL1","BALL-1","BALL-1","BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ACH-002211",910705,"SIDM00287",NA,NA,NA,"Unknown",NA,"Lymphoid","B-cell leukemia","B-cell acute lymphoblastic leukemia (B-ALL)",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA
"BB30HNC","BB30-HNC","BB30-HNC","BB30HNC_UPPER_AERODIGESTIVE_TRACT",NA,"ACH-002212",753531,"SIDM00172",NA,NA,NA,"Unknown",NA,"Head and Neck","Head and Neck","Squamous",NA,NA,"upper_aerodigestive_tract",NA,NA,NA
"BB30PBL","BB30PBL",NA,"BB30PBL_MATCHED_NORMAL_TISSUE",NA,"ACH-002342",NA,NA,NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"BB49EBV","BB49EBV",NA,"BB49EBV_MATCHED_NORMAL_TISSUE",NA,"ACH-002343",NA,NA,NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
"BB49HNC","BB49-HNC","BB49-HNC","BB49HNC_UPPER_AERODIGESTIVE_TRACT",NA,"ACH-002213",753532,"SIDM00174",NA,NA,NA,"Unknown",NA,"Head and Neck","Head and Neck","Squamous",NA,NA,"upper_aerodigestive_tract",NA,NA,NA
"BB65EBV","BB65EBV",NA,"BB65EBV_MATCHED_NORMAL_TISSUE",NA,"ACH-002344",NA,NA,NA,NA,NA,"Unknown",NA,"Non-cancerous","Non-cancerous","NOS",NA,NA,"matched_normal_tissue",NA,NA,NA
